date,Open,High,Low,Close,Adj Close,Volume,Returns,Adj_Close_Lag_1,Adj_Close_Lag_2,Adj_Close_Lag_3,Rolling_Mean,Rolling_Std,30-Day MA,EMA,ROC,RSI,ATR
04/01/2016,0.431953004,0.424719031,0.503977635,0.54350447,0.54350447,0.176737889,0.500955926,0.516449718,0.549468547,0.506216975,0.608891802,0.581436394,0.983012041,0.644461051,0.411904405,0.42649335,0.595743812
05/01/2016,0.427463583,0.405197818,0.531202234,0.536906566,0.536906566,0.454484213,0.527625965,0.54350447,0.516449718,0.549468547,0.613634355,0.512660008,0.983072893,0.648902334,0.473835456,0.449317067,0.590452373
06/01/2016,0.510061406,0.487056891,0.482942137,0.503381226,0.503381226,0.655777079,0.545967836,0.536906566,0.54350447,0.516449718,0.596081225,0.518773907,0.982916882,0.609622782,0.551886634,0.456892126,0.611035867
07/01/2016,0.468688016,0.401680402,0.498920065,0.499774992,0.499774992,0.390733352,0.525588161,0.503381226,0.536906566,0.54350447,0.597841554,0.510276507,0.982015816,0.603797312,0.44236201,0.37943189,0.601034882
08/01/2016,0.390250619,0.386736495,0.45633683,0.514937273,0.514937273,0.425651204,0.512803813,0.499774992,0.503381226,0.536906566,0.593686457,0.494565061,0.981374271,0.60775301,0.342703612,0.36581458,0.600471584
11/01/2016,0.4983867,0.428753934,0.555079244,0.556389729,0.556389729,0.378423484,0.494896016,0.514937273,0.499774992,0.503381226,0.596553374,0.545501591,0.982247162,0.629357545,0.56804393,0.476579015,0.56839065
12/01/2016,0.570261217,0.520847279,0.52898984,0.485514067,0.485514067,0.637635637,0.571409355,0.556389729,0.514937273,0.499774992,0.569115339,0.559700982,0.982165256,0.591729651,0.31206922,0.454623994,0.565878843
13/01/2016,0.330619135,0.405318375,0.513181469,0.647670864,0.647670864,0.486779907,0.412677135,0.485514067,0.556389729,0.514937273,0.613933713,0.539728435,0.982220395,0.68141037,0.825312458,0.446090827,0.611964304
14/01/2016,0.560918137,0.504355457,0.547738078,0.501791098,0.501791098,0.558388862,0.622499096,0.647670864,0.485514067,0.556389729,0.598825019,0.530305803,0.982816475,0.650164537,0.382790628,0.438907789,0.591248621
15/01/2016,0.470454989,0.420180582,0.518967534,0.534031243,0.534031243,0.276513991,0.501171068,0.501791098,0.647670864,0.485514067,0.612012419,0.53707003,0.982577812,0.650570578,0.5171204,0.376097471,0.600973664
19/01/2016,0.461365136,0.409590931,0.479260036,0.500584428,0.500584428,0.623560166,0.545914348,0.534031243,0.501791098,0.647670864,0.612360685,0.491208976,0.982388868,0.627335783,0.423307464,0.447218438,0.593256754
20/01/2016,0.460699475,0.444136763,0.508848544,0.545810108,0.545810108,0.348910095,0.492325849,0.500584428,0.534031243,0.501791098,0.625643955,0.491418148,0.982474437,0.638539157,0.771100551,0.51127833,0.577724062
21/01/2016,0.504238208,0.493952878,0.567303958,0.598743622,0.598743622,0.479480481,0.487075587,0.545810108,0.500584428,0.534031243,0.643867035,0.447611184,0.983615586,0.682757719,0.488404209,0.086677803,0
22/01/2016,0.526623474,0.482052877,0.555004648,0.529528687,0.529528687,0.386128648,0.570278135,0.598743622,0.545810108,0.500584428,0.662804656,0.483806842,0.983086318,0.671117499,0.692295303,0.455215157,0.5650019
25/01/2016,0.474653029,0.447256114,0.524323084,0.575028672,0.575028672,0.489272921,0.492139004,0.529528687,0.598743622,0.545810108,0.631549807,0.535698496,0.983447363,0.691858367,0.500050616,0.487209128,0.569149459
26/01/2016,0.49927352,0.460955484,0.508819937,0.533483149,0.533483149,0.534577885,0.551430859,0.575028672,0.529528687,0.598743622,0.64518555,0.528582676,0.983088642,0.680589514,0.435908873,0.385112627,0.62874575
27/01/2016,0.533284452,0.553607098,0.600943442,0.636210505,0.636210505,1,0.45315805,0.533483149,0.575028672,0.529528687,0.689148946,0.599273329,0.983400518,0.740680891,0.850090378,0.8556593,0.597498868
28/01/2016,0.412008034,0.36286394,0.471341203,0.474973038,0.474973038,0.438387223,0.632960136,0.636210505,0.533483149,0.575028672,0.678129453,0.477239501,0.983891669,0.680757628,0.025021122,0.265602487,0.63873803
29/01/2016,0.526813836,0.465593753,0.532931701,0.526449569,0.526449569,0.069377501,0.488068025,0.474973038,0.636210505,0.533483149,0.669799435,0.528100351,0.984144226,0.667616962,0.418408261,0.405808739,0.593623107
01/02/2016,0.434043251,0.350756427,0.43701432,0.415434922,0.415434922,0.408815392,0.598750397,0.526449569,0.474973038,0.636210505,0.590929489,0.549112205,0.982729878,0.584280197,0.202913694,0.284682998,0.603264794
02/02/2016,0.354684184,0.322728749,0.405288154,0.427118063,0.427118063,0.644513537,0.515173661,0.415434922,0.526449569,0.474973038,0.546866549,0.483157985,0.981133498,0.525379857,0.385518746,0.408319618,0.572057377
03/02/2016,0.369993999,0.394866981,0.484137205,0.588629719,0.588629719,0.242533782,0.413116578,0.427118063,0.415434922,0.526449569,0.552718501,0.546437515,0.981846106,0.584359671,0.229079631,0.353281213,0.569428851
04/02/2016,0.486507394,0.480422541,0.530081455,0.526348947,0.526348947,0.741907957,0.565554866,0.588629719,0.427118063,0.415434922,0.549648957,0.598902813,0.982483174,0.590426116,0.527634911,0.460824985,0.560121014
